Year,Zip Code,County,Total Beneficiaries,Dual Eligible Beneficiaries,Non Dual Beneficiaries,Child Beneficiaries,Adult Beneficiaries,Dual Beneficiaries Admitted,Total Dual Admissions,Non Dual Beneficiaries Admitted,Total Non Dual Admissions,Total Beneficiaries Admitted,Total Admissions,Dual Beneficiaries ER ,Dual Beneficiaries ER Visits,Non Dual Beneficiaries ER,Non Dual Beneficiaries ER Visits,Total Beneficiaries ER,Total ER Visits
2012,10094,New York,3,0,3,1,2,0,0,1,2,1,2,0,0,0,0,0,0
2012,10096,New York,10,0,10,6,4,0,0,1,1,1,1,0,0,1,2,1,2
2012,10099,New York,5,0,5,1,4,0,0,1,7,1,7,0,0,2,4,2,4
2012,10101,New York,83,22,61,13,70,5,7,6,7,11,14,5,18,17,42,22,60
2012,10103,New York,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1
2012,10104,New York,14,0,14,9,5,0,0,2,2,2,2,0,0,1,1,1,1
2012,10107,New York,5,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2012,10108,New York,102,49,53,5,97,5,7,6,13,11,20,14,28,21,63,35,91
2012,10109,New York,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2012,10112,New York,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012,10113,New York,73,22,51,5,68,0,0,4,22,4,22,2,2,15,73,17,75
2012,10116,New York,1751,844,907,25,1726,265,421,237,604,502,1025,211,529,417,1250,628,1779
2012,10117,New York,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,10118,New York,72,60,12,0,72,5,8,1,2,6,10,20,33,5,6,25,39
2012,10119,New York,5,1,4,0,5,0,0,1,7,1,7,0,0,3,6,3,6
2012,10121,New York,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,10122,New York,7,0,7,0,7,0,0,6,14,6,14,0,0,1,2,1,2
2012,10124,New York,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,1,2
2012,10125,New York,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,10126,New York,4,3,1,0,4,1,1,0,0,1,1,0,0,0,0,0,0
2012,10128,New York,4689,1297,3392,987,3702,228,330,344,535,572,865,189,382,924,1886,1113,2268
2012,10129,New York,47,24,23,3,44,2,3,4,6,6,9,6,16,5,10,11,26
2012,10130,New York,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0
2012,10132,New York,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,10133,New York,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,10138,New York,286,179,107,3,283,53,70,32,68,85,138,42,71,44,104,86,175
2012,10150,New York,122,35,87,14,108,4,7,9,16,13,23,9,25,15,25,24,50
2012,10151,New York,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
2012,10152,New York,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,10153,New York,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012,10154,New York,2,1,1,0,2,1,1,0,0,1,1,0,0,0,0,0,0
2012,10155,New York,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,10156,New York,68,28,40,9,59,7,12,6,7,13,19,5,10,21,82,26,92
2012,10157,New York,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,10158,New York,4,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2012,10159,New York,80,34,46,4,76,5,7,9,13,14,20,7,10,15,32,22,42
2012,10160,New York,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,10162,New York,32,17,15,7,25,1,1,2,2,3,3,2,4,2,2,4,6
2012,10163,New York,124,39,85,8,116,7,10,6,10,13,20,8,30,18,29,26,59
2012,10165,New York,7,4,3,2,5,1,1,0,0,1,1,0,0,0,0,0,0
2012,10168,New York,9,0,9,3,6,0,0,1,1,1,1,0,0,1,1,1,1
2012,10169,New York,3,0,3,1,2,0,0,0,0,0,0,0,0,1,1,1,1
2012,10170,New York,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
2012,10172,New York,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,10174,New York,3,1,2,0,3,0,0,0,0,0,0,0,0,1,1,1,1
2012,10175,New York,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012,10177,New York,3,1,2,0,3,0,0,0,0,0,0,0,0,1,1,1,1
2012,10185,New York,46,24,22,2,44,2,11,3,5,5,16,2,4,9,15,11,19
2012,10199,New York,2,0,2,0,2,0,0,0,0,0,0,0,0,1,4,1,4
2012,10200,,2,0,2,1,1,0,0,2,2,2,2,0,0,0,0,0,0
2012,10203,New York,10,0,10,10,0,0,0,0,0,0,0,0,0,7,11,7,11
2012,10212,New York,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,10257,New York,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,10268,New York,100,4,96,63,37,2,3,15,16,17,19,2,3,35,86,37,89
2012,10272,New York,214,103,111,11,203,29,52,14,29,43,81,47,97,40,84,87,181
2012,10274,New York,23,5,18,2,21,1,1,1,1,2,2,0,0,3,11,3,11
2012,10276,New York,69,25,44,7,62,5,6,2,2,7,8,5,12,12,20,17,32
2012,10278,New York,1,1,0,0,1,1,1,0,0,1,1,1,2,0,0,1,2
2012,10279,New York,1,0,1,0,1,0,0,0,0,0,0,0,0,1,4,1,4
2012,10280,New York,408,74,334,98,310,8,11,32,47,40,58,6,12,52,87,58,99
2012,10281,New York,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,10282,New York,193,44,149,47,146,3,4,10,13,13,17,7,10,11,16,18,26
2012,10286,New York,2,0,2,0,2,0,0,0,0,0,0,0,0,2,2,2,2
2012,10292,New York,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,1,2
2012,10301,Richmond,14853,2328,12525,5399,9454,572,882,1506,2326,2078,3208,558,1263,4075,8514,4633,9777
2012,10302,Richmond,7287,677,6610,3437,3850,135,195,789,1131,924,1326,145,311,2120,4042,2265,4353
2012,10303,Richmond,12102,989,11113,5007,7095,202,317,1172,1627,1374,1944,221,428,3461,6592,3682,7020
2012,10304,Richmond,19171,2446,16725,7131,12040,491,684,1822,2933,2313,3617,394,781,4953,9608,5347,10389
2012,10305,Richmond,12795,2061,10734,3797,8998,382,532,1180,1871,1562,2403,337,598,2700,5443,3037,6041
2012,10306,Richmond,12123,2237,9886,3260,8863,416,535,951,1408,1367,1943,288,507,2324,4306,2612,4813
2012,10307,Richmond,2086,279,1807,624,1462,51,73,183,275,234,348,41,65,445,783,486,848
2012,10308,Richmond,4065,614,3451,1047,3018,102,132,313,476,415,608,68,129,746,1242,814,1371
2012,10309,Richmond,4955,724,4231,1384,3571,108,142,380,671,488,813,112,208,961,1762,1073,1970
2012,10310,Richmond,9201,889,8312,3898,5303,150,209,989,1531,1139,1740,190,394,2862,5798,3052,6192
2012,10311,Richmond,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1
2012,10312,Richmond,8769,1252,7517,2337,6432,174,264,640,989,814,1253,133,240,1532,2650,1665,2890
2012,10313,Richmond,19,3,16,2,17,1,1,2,2,3,3,0,0,4,13,4,13
2012,10314,Richmond,20714,3492,17222,6080,14634,580,768,1532,2206,2112,2974,409,704,3523,6089,3932,6793
2012,10451,Bronx,32538,3931,28607,11427,21111,818,1146,3322,5236,4140,6382,700,1230,9210,18218,9910,19448
2012,10452,Bronx,57689,5394,52295,21646,36043,1060,1440,5626,8402,6686,9842,946,1468,15718,29328,16664,30796
2012,10453,Bronx,60765,5521,55244,21935,38830,1054,1502,5901,8658,6955,10160,963,1637,15943,29505,16906,31142
2012,10454,Bronx,29695,3405,26290,11360,18335,698,1004,3105,4926,3803,5930,640,1153,8651,17199,9291,18352
2012,10455,Bronx,30224,3262,26962,11360,18864,653,959,3240,5413,3893,6372,644,1103,8889,17890,9533,18993
2012,10456,Bronx,67293,6810,60483,24906,42387,1590,2372,6889,11098,8479,13470,1243,2146,18941,36372,20184,38518
2012,10457,Bronx,58559,5184,53375,22844,35715,1135,1639,6251,10072,7386,11711,974,1674,17509,34732,18483,36406
2012,10458,Bronx,52882,4906,47976,20386,32496,986,1468,5584,8711,6570,10179,873,1567,15147,30827,16020,32394
2012,10459,Bronx,34209,3793,30416,12574,21635,772,1135,3344,5267,4116,6402,623,1161,8832,16791,9455,17952
2012,10460,Bronx,39828,4258,35570,14938,24890,884,1301,3925,6029,4809,7330,721,1224,10915,21386,11636,22610
2012,10461,Bronx,16521,2369,14152,5104,11417,437,675,1609,2505,2046,3180,339,596,4112,8143,4451,8739
2012,10462,Bronx,36753,4055,32698,12450,24303,745,1034,3235,4475,3980,5509,654,1082,9245,17082,9899,18164
2012,10463,Bronx,25783,4852,20931,7603,18180,1104,1623,2106,3152,3210,4775,763,1211,5663,10348,6426,11559
2012,10464,Bronx,701,166,535,182,519,29,46,53,95,82,141,19,32,144,277,163,309
2012,10465,Bronx,10962,2148,8814,3363,7599,412,570,883,1211,1295,1781,326,498,2476,4676,2802,5174
2012,10466,Bronx,32312,3363,28949,11875,20437,775,1170,3263,4910,4038,6080,687,1190,9885,19516,10572,20706
2012,10467,Bronx,56266,6851,49415,20426,35840,1546,2317,5767,8748,7313,11065,1313,2413,16769,33725,18082,36138
2012,10468,Bronx,50499,5107,45392,17940,32559,923,1247,4783,6848,5706,8095,744,1242,12827,23749,13571,24991
2012,10469,Bronx,27758,4685,23073,9237,18521,1315,2018,2447,3576,3762,5594,768,1288,6859,13056,7627,14344
2012,10470,Bronx,4958,498,4460,1845,3113,82,131,531,791,613,922,79,133,1391,2841,1470,2974
2012,10471,Bronx,4271,1805,2466,765,3506,424,578,278,424,702,1002,208,343,594,1061,802,1404
2012,10472,Bronx,44540,4503,40037,17838,26702,899,1312,4159,5948,5058,7260,698,1204,11910,22012,12608,23216
2012,10473,Bronx,30191,4117,26074,10167,20024,837,1193,2534,3863,3371,5056,728,1193,7783,14435,8511,15628
2012,10474,Bronx,8423,716,7707,3434,4989,125,189,867,1329,992,1518,122,274,2164,4044,2286,4318
2012,10475,Bronx,10443,2383,8060,2819,7624,539,850,871,1313,1410,2163,342,598,2290,4255,2632,4853
2012,10499,Bronx,2,0,2,1,1,0,0,1,1,1,1,0,0,0,0,0,0
2012,10501,Westchester,71,12,59,23,48,0,0,9,17,9,17,0,0,10,12,10,12
2012,10502,Westchester,318,85,233,61,257,13,14,16,25,29,39,7,17,39,56,46,73
2012,10503,Westchester,21,5,16,6,15,1,1,0,0,1,1,1,2,1,4,2,6
2012,10504,Westchester,199,38,161,55,144,7,10,15,17,22,27,1,1,32,51,33,52
2012,10505,Westchester,92,34,58,29,63,7,8,4,4,11,12,4,7,14,21,18,28
2012,10506,Westchester,128,30,98,50,78,3,3,8,21,11,24,0,0,27,86,27,86
2012,10507,Westchester,910,93,817,439,471,11,11,97,114,108,125,7,10,160,261,167,271
2012,10509,Putnam,1712,492,1220,606,1106,74,103,159,189,233,292,84,147,290,471,374,618
2012,10510,Westchester,342,160,182,44,298,32,39,25,30,57,69,18,66,50,75,68,141
2012,10511,Westchester,284,37,247,119,165,9,14,20,34,29,48,9,14,80,157,89,171
2012,10512,Putnam,1857,450,1407,643,1214,60,81,201,297,261,378,73,143,375,780,448,923
2012,10514,Westchester,279,68,211,72,207,6,8,14,22,20,30,2,2,46,87,48,89
2012,10516,Putnam,263,74,189,81,182,8,9,24,33,32,42,8,13,54,83,62,96
2012,10517,Westchester,71,12,59,23,48,3,7,5,7,8,14,3,5,23,30,26,35
2012,10518,Westchester,28,4,24,11,17,1,2,3,8,4,10,0,0,3,4,3,4
2012,10519,Westchester,50,12,38,16,34,2,2,5,7,7,9,2,2,6,10,8,12
2012,10520,Westchester,974,446,528,193,781,89,106,58,107,147,213,64,106,153,298,217,404
2012,10521,Westchester,11,4,7,1,10,2,4,1,1,3,5,1,5,3,7,4,12
2012,10522,Westchester,1031,340,691,244,787,70,90,53,85,123,175,40,56,192,362,232,418
2012,10523,Westchester,1624,165,1459,652,972,21,32,163,241,184,273,22,45,364,646,386,691
2012,10524,Putnam,401,137,264,63,338,26,32,60,114,86,146,36,64,75,168,111,232
2012,10526,Westchester,110,15,95,32,78,1,3,9,21,10,24,0,0,23,49,23,49
2012,10527,Westchester,23,7,16,6,17,2,2,2,2,4,4,0,0,3,4,3,4
2012,10528,Westchester,906,176,730,247,659,26,45,60,98,86,143,18,40,145,299,163,339
2012,10530,Westchester,831,265,566,184,647,40,51,44,67,84,118,29,57,137,247,166,304
2012,10532,Westchester,478,214,264,104,374,39,58,43,83,82,141,56,119,69,201,125,320
2012,10533,Westchester,375,92,283,85,290,8,12,23,44,31,56,17,50,75,142,92,192
2012,10535,Westchester,143,15,128,62,81,1,4,9,11,10,15,4,4,33,54,37,58
2012,10536,Westchester,339,66,273,98,241,12,13,35,55,47,68,5,6,51,80,56,86
2012,10537,Putnam,239,34,205,81,158,3,4,18,23,21,27,11,19,62,121,73,140
2012,10538,Westchester,589,156,433,144,445,19,23,35,52,54,75,26,38,66,123,92,161
2012,10540,Westchester,74,10,64,33,41,3,4,12,28,15,32,1,13,23,54,24,67
