Discharge Year,Software Version,Patient Zipcode,Observed Rate Per 100 People,Expected Rate Per 100 People,Risk Adjusted Rate Per 100 People,Difference in Rates
2015,1.32,13343,40.10,18.90,52.95,21.20
2015,1.32,13345,16.67,19.29,21.56,-2.63
2015,1.32,13346,14.48,22.46,16.09,-7.97
2015,1.32,13348,29.43,19.95,36.81,9.48
2015,1.32,13350,29.65,21.48,34.45,8.17
2015,1.32,13353,32.81,16.92,48.40,15.90
2015,1.32,13354,15.97,19.41,20.53,-3.44
2015,1.32,13355,28.66,19.35,36.95,9.31
2015,1.32,13357,25.25,20.11,31.33,5.14
2015,1.32,13360,12.89,18.34,17.55,-5.44
2015,1.32,13361,14.76,19.67,18.73,-4.90
2015,1.32,13363,34.31,19.25,44.47,15.06
2015,1.32,13365,40.21,19.74,50.84,20.47
2015,1.32,13367,33.28,19.88,41.76,13.39
2015,1.32,13368,46.81,18.68,62.54,28.13
2015,1.32,13402,35.93,18.56,48.32,17.37
2015,1.32,13403,11.28,24.83,11.33,-13.55
2015,1.32,13406,45.94,19.17,59.80,26.77
2015,1.32,13407,22.17,19.77,27.98,2.40
2015,1.32,13408,19.99,22.85,21.84,-2.85
2015,1.32,13409,31.97,21.20,37.64,10.77
2015,1.32,13411,32.70,20.56,39.68,12.13
2015,1.32,13413,14.36,19.68,18.21,-5.32
2015,1.32,13415,19.09,18.88,25.23,0.21
2015,1.32,13416,14.27,18.75,19.00,-4.48
2015,1.32,13417,21.75,20.14,26.96,1.62
2015,1.32,13418,24.68,19.48,31.61,5.20
2015,1.32,13420,13.74,18.97,18.07,-5.23
2015,1.32,13421,48.82,22.02,55.33,26.80
2015,1.32,13424,16.49,21.79,18.88,-5.30
2015,1.32,13425,25.60,19.57,32.64,6.03
2015,1.32,13428,32.89,18.53,44.29,14.36
2015,1.32,13431,12.91,19.01,16.94,-6.10
2015,1.32,13433,37.79,20.34,46.37,17.45
2015,1.32,13437,13.95,19.07,18.25,-5.12
2015,1.32,13438,14.90,19.15,19.42,-4.25
2015,1.32,13439,20.59,19.63,26.18,0.96
2015,1.32,13440,42.02,22.64,46.32,19.38
2015,1.32,13450,39.44,19.10,51.53,20.34
2015,1.32,13452,36.79,19.52,47.03,17.27
2015,1.32,13454,43.79,18.88,57.87,24.91
2015,1.32,13456,13.60,18.62,18.22,-5.03
2015,1.32,13459,24.24,19.94,30.34,4.30
2015,1.32,13460,40.07,19.68,50.82,20.39
2015,1.32,13461,24.06,18.86,31.83,5.20
2015,1.32,13464,34.55,19.20,44.89,15.35
2015,1.32,13468,31.25,19.12,40.79,12.13
2015,1.32,13469,20.08,19.53,25.66,0.55
2015,1.32,13470,32.10,19.12,41.89,12.98
2015,1.32,13471,36.69,19.54,46.86,17.15
2015,1.32,13473,23.48,18.70,31.34,4.79
2015,1.32,13476,25.73,20.73,30.98,5.00
2015,1.32,13477,33.53,20.53,40.76,13.00
2015,1.32,13478,23.73,20.74,28.55,2.99
2015,1.32,13480,17.25,20.53,20.97,-3.28
2015,1.32,13482,36.54,22.07,41.30,14.46
2015,1.32,13483,42.86,18.95,56.43,23.90
2015,1.32,13485,18.85,19.41,24.24,-0.56
2015,1.32,13486,30.44,18.44,41.19,12.00
2015,1.32,13488,59.02,20.26,72.70,38.76
2015,1.32,13489,43.67,20.10,54.22,23.57
2015,1.32,13490,19.20,19.45,24.63,-0.25
2015,1.32,13491,16.94,19.37,21.82,-2.43
2015,1.32,13492,15.92,19.44,20.43,-3.52
2015,1.32,13493,15.67,20.30,19.27,-4.63
2015,1.32,13494,22.54,20.04,28.06,2.50
2015,1.32,13495,19.17,20.65,23.17,-1.48
2015,1.32,13501,30.73,24.19,31.70,6.54
2015,1.32,13502,28.17,25.03,28.09,3.14
2015,1.32,13601,48.19,24.52,49.04,23.67
2015,1.32,13602,27.15,27.83,24.35,-0.68
2015,1.32,13603,37.71,30.05,31.32,7.66
2015,1.32,13605,25.23,20.24,31.10,4.99
2015,1.32,13606,29.32,20.62,35.48,8.70
2015,1.32,13607,5.70,19.93,7.14,-14.23
2015,1.32,13608,39.85,20.01,49.69,19.84
2015,1.32,13611,12.35,20.16,15.29,-7.81
2015,1.32,13612,36.96,23.25,39.67,13.71
2015,1.32,13613,39.81,23.85,41.65,15.96
2015,1.32,13614,51.69,20.06,64.28,31.62
2015,1.32,13616,29.88,25.32,29.45,4.57
2015,1.32,13617,25.07,22.42,27.91,2.66
2015,1.32,13618,18.86,20.78,22.64,-1.93
2015,1.32,13619,44.56,22.38,49.68,22.18
2015,1.32,13620,28.64,20.18,35.41,8.46
2015,1.32,13621,44.67,19.97,55.81,24.70
2015,1.32,13622,19.30,21.03,22.90,-1.73
2015,1.32,13624,8.24,22.18,9.27,-13.94
2015,1.32,13625,31.61,18.96,41.60,12.65
2015,1.32,13626,25.34,20.21,31.29,5.13
2015,1.32,13630,27.57,19.40,35.46,8.17
2015,1.32,13633,26.64,18.82,35.32,7.82
2015,1.32,13634,22.78,21.19,26.82,1.58
2015,1.32,13635,42.91,20.01,53.50,22.90
2015,1.32,13636,30.87,18.87,40.82,12.00
2015,1.32,13637,32.92,25.92,31.69,7.00
2015,1.32,13638,88.57,22.96,96.27,65.61
2015,1.32,13639,102.51,22.03,116.11,80.48
2015,1.32,13640,9.65,21.42,11.24,-11.77
2015,1.32,13642,54.44,22.24,61.06,32.19
2015,1.32,13646,23.09,19.56,29.45,3.53
2015,1.32,13648,38.72,20.01,48.29,18.71
2015,1.32,13650,22.78,21.28,26.71,1.50
